time,emotionIntensity.anger,emotionIntensity.comments,emotionIntensity.fear,emotionIntensity.joy,emotionIntensity.sad,emotionIntensity.user,emotionIntensity.user association
2018-01-15T00:00:00.000Z,0,"press ctrl-shift-f to bring up the command palette. search for 'rtl' and select 'toggle rtl layout'. it should switch around.if the first language selected in your browser is arabic or hebrew, it currently selects rtl by default. ccing @samarsultan in case that needs refining.  thanks; see https://github.com/davidhalter/jedi/issues/1027",0,0,0,takluyver,Member
2018-01-17T00:00:00.000Z,0,is it possible that you've enabled `mouse_support` in ipython's config? scrolling is working in gnome-terminal for me.,0,0,0,takluyver,Member
2018-01-18T00:00:00.000Z,0,"i'm inclined to say it's a bug in lxterminal until proven otherwise, since it's working in a wide variety of other terminal emulators.cc @jonathanslenders - is prompt_toolkit doing anything that might cause problems with scrolling in the terminal?",0.188,0,0,takluyver,Member
2018-01-19T00:00:00.000Z,0,"what environment variables did you have to set? i don't know how tensorflow would make a difference to saving a notebook.  i guess you had to add those to path ? i don't think that should affect saving a notebook. :-s  double check that you have write permissions in your own documents folder?  i don't know exactly, i don't use windows very often. but if you right click on the folder, it's probably somwhere in its properties.i don't think it's very likely that that is the problem, i just don't have many other ideas what to suggest.",0,0,0,takluyver,Member
2018-01-21T00:00:00.000Z,0,"i am having what sounds like a related problem on linux. i do not have tensorflow installed, but i did just update `jupyter` and `notebook`.if i try create a create a notebook in a subdirectory, jupyter switches back to the root directory (`/`), and then fails to create the notebook because it doesn't have write permissions to `/`.",0.266,0,0,IanSudbery,Other
2018-01-22T00:00:00.000Z,0,@ellisonbg  how can i have access to notebook metadata within the notebook ?i need to rewrite some part of the metadata based on parameters which are generated after running notebook cells.,0,0,0,p2ya,Other
2018-01-23T00:00:00.000Z,0,"that could be a bit complicated and i am probably not the best person forthe question. in principle you would need to write an nbextension thatmodifies the notebook model, but that part of the code base is only asemi-public apion mon, jan 22, 2018 at 2:34 pm, p2ya <notifications@github.com> wrote:> @ellisonbg <https://github.com/ellisonbg> how can i have access to> notebook metadata within the notebook ?> i need to rewrite some part of the metadata based on parameters which are> generated after running notebook cells.>> â€”> you are receiving this because you were mentioned.> reply to this email directly, view it on github> <https://github.com/ipython/ipython/issues/6073#issuecomment-359593844>,> or mute the thread> <https://github.com/notifications/unsubscribe-auth/aabr0jlw_apx-a6qliopntahgtqwqxuxks5tnq0igajpzm4cjeee>> .>-- brian e. grangerassociate professor of physics and data sciencecal poly state university, san luis obispo@ellisonbg on twitter and githubbgranger@calpoly.edu and ellisonbg@gmail.com",0,0,0,ellisonbg,Member
2018-01-24T00:00:00.000Z,0.045,"anyone know how to turn this off? i would vote for case sensitive being default given past behaviour and usage patterns in python.  this seems to get rid of the bad column displays where it doesn't show you all the options.`c.terminalinteractiveshell.display_completions = 'readlinelike'`  does anyone know how to turn all new features off on tab completion and have the old, fast, reliable case sensitive tab completion?",0,0,0.031,cottrell,Other
2018-01-25T00:00:00.000Z,0.266,"> i did not realize ipython is still a thing,no worries> i assumed jupyter was a rebrand/replacement.yes and no. jupyter is the language agnostic part. ipython is still the tiny part that does python execution. that is to say you can use jupyter+ipython , jupyter+scala,  jupyter+haskell...and yes, i understood your problem, that you want to have a tab in a specific location, but not generally. the reason you can't get tabs is indeed because we replace by 4 spaces as many user copy past and end up with mix of tab and space. of course there are cases where you want to insert tabs. it's a tiny bit harder than in vim, emacs or any ""native"" application because of browser limitation. typically we have to stay away from any alt- or shift- related shortcut as otherwise we'll break non-english layout. you may think ""it's ok if a tine portion of user can't use some shortcut"", and we may agree that this may not be a big issue, though in general each time we've tried to extend shortcuts, we've hit roadblock, from the top of my head:  - typing `-` (minus) on a german keyboard was splitting cells, because minus needs `alt-` to be pressed.   - preventing french users from typing `|`   - preventing french users  from typing numbers(yes i used to have a french keyboard so i remember those one).we are thus relatively restricted. there are some plans to provide ""localized keymaps"", disable by default, but a click away, and then we can add more convenient shortcuts we know work on some layouts. for now i believe in jupyterlab(more info below) going to the ""edit"" menu and deactivate ""indent with space"" (or whatever the menu is named), should allow you to insert tabs, at least temporarily, then you can revert to ""indent with space"". yes it is inconvenient, and why i'm only suggesting it as a workaround. notebook 5.3 should already allow custom commands and keyboard shortcuts (help > edit keyboard shortcut). the commands can be registerd by `custom.js` or notebook extensions, so i believed you should ba able to include that with custom keybinding on your system, and if it works we'll be happy to include it. we would have to discuss the exact keyboard shortcut but worst case it's still `ctrl-p` then search for `insert a tab character` and then `enter` in the command palette.as for [jupyterlab](https://github.com/jupyterlab/jupyterlab) it's the new frontend (completely compatible with current notebook), that has been in dev for quite some time, and should be released soon (already unofficially released you can pip-install it). the team is currently polishing the docs.here is a not-so-recent screenshot to give you an idea:![1_nlqmkeckc7u70j-5ynpk0a](https://user-images.githubusercontent.com/335567/35403787-af136244-01b5-11e8-8574-68dce477bf3f.png)almost no code is shared with current notebook and most of the keyboard handling has been redone, so most tricky things should be fixed or easier to fix.",0,0,0,Carreau,Member
2018-01-26T00:00:00.000Z,0,"thanks for your explanations, @carreau.  i am probably a rare user, as i know very little about python, so my use is jupyter+gnuplot, jupyter+octave, jupyter+bash/file/fortran, for teaching purposes.because of that i must stick to the current versions that my sysadmin installs for me, cluster-wide, otherwise what i see and what the students see would not be the same. when jupyterlab is released, i may make use of it - next year.so the answer to my original question - is there a way to enter a raw tab into a `%%file` - is no.i appreciate the difficulties of encoding and i would not want to impose an english keyboard on french users.  but being in a browser offers a different opportunity, of using markup, to bypass local keyboard bindings.  is there a `%%file -translate-html ` option, so i could enter `&#9;` when i wanted a tab and have it translate into a raw tab when the file is written out?again, i am not looking for a universal handling of tab vs. space, just something specific to %%file cell, which is effectively a built-in text editor.  tab-based auto completion should not be enabled in those cells anyway, and so tab handling is a purely stylistic issue in those cells. whatever one's choice, an editor should enable the user to enter any character possible into the file, hence my asking for a ctl-v-like mode.finally, i do not understand that bit about custom.js. ctl-p (? you probably meant ctl-f to search) searches in the page, not in the pop-up that help->edit keyboard shortcuts generates, but in any case, ""insert a tab character"" is not one of the available options.where should custom.js be, to be noticed? - in the home ? somewhere in the .local or .config before the `jupyter notebook` server is launched? what should it contain to generate a toggle-like option in the menu?  if this route works, i would happily use it now, by telling students to download and place this file in their home spaces - a one-time operation.  or are you talking about options only available in the future (jupyterlab) ?  one other thought.  i just looked up the list of edit mode keystrokes:- tab : code completion or indent- shift-tab : tooltip- ctrl-] : indent- ctrl-[ : dedent- ctrl-a : select all- ctrl-z : undoetc.  and i see there is room for `ctrl-v : enter next character as-is. `",0,0,0,esternin,Other
2018-01-27T00:00:00.000Z,0,"this seems closely related to https://github.com/ipython/ipython/pull/10996.  this issue appears stale now, and should probably be closed.",0,0,0,davidlowryduda,Other
2018-01-30T00:00:00.000Z,0,"i think same thing:```pythonexception ignored in: <bound method image.__del__ of <tkinter.photoimage object at 0x7f7e6d8b29b0>>traceback (most recent call last):  file ""/usr/lib/python3.5/tkinter/__init__.py"", line 3359, in __del__    self.tk.call('image', 'delete', self.name)runtimeerror: main thread is not in main loopexception ignored in: <bound method image.__del__ of <tkinter.photoimage object at 0x7f7e6d568f28>>tcl_asyncdelete: async handler deleted by the wrong threadtraceback (most recent call last):aborted (core dumped)```ubuntu 16.04 with python 3:```pythonpython 3.5.2 (default, nov 23 2017, 16:37:01) type 'copyright', 'credits' or 'license' for more informationipython 6.2.1 -- an enhanced interactive python. type '?' for help.```",0.203,0,0.121,nateGeorge,Other
2018-02-01T00:00:00.000Z,0,"is there anything left to be resolved in this issue, or perhaps it can be closed now?",0,0,0,davidlowryduda,Other
2018-02-04T00:00:00.000Z,0,i might pr this. https://github.com/cottrell/ipython/commit/c07e32e1f996966e1322b679f6734816cfae567b  https://github.com/cottrell/ipython/commit/c07e32e1f996966e1322b679f6734816cfae567b,0,0,0,cottrell,Other
2018-02-09T00:00:00.000Z,0,"in ipython 3, this code should now be:```pythonimport ipywidgets as widgetsdef on_click(button):    create_code_cell('print(""hello world!"")')button = widgets.button(description=""show hello world code"")button.on_click(on_click)display(button)```regardless, when leaving the notebook and re-entering it, it appears that the on_click javascript gets executed again (even though no one has explicitly clicked the button), resulting in multiple input cells. is there a way to avoid this undesirable behavior?",0,0,0,barik,Other
2018-02-10T00:00:00.000Z,0,this is a persistent issue due to pyqt having a number of import-time configurations which are mutually exclusive.i suggest: a) importing `pyqt4` before you import anything from matplotlib (as mpl has enough logic to sort out what you imported and work with that).  this means you should not launch ipython with `--matplotlib=qt` b) import the `qtcore` from `matplotlib.backends.qt_compat` which uses the version matplotlib/ipython has already imported,0,0,0,tacaswell,Other
2018-02-11T00:00:00.000Z,0,"ipython doesn't do anything with bytecode directly - all your code is passed through to python to be executed, so it's still python considering that environment variable.one possibility is that python on windows checks for the environment variable when it starts, so setting it in the process doesn't affect anything. i guess you'd have to read the source code to be certain whether that's what's going on, though.",0,0,0,takluyver,Member
2018-02-14T00:00:00.000Z,0,"do you want to make a new inputhook for wxpython 4 with these changes? i.e. add `ipython.terminal.pt_inputhooks.wx4`. we don't use the `ipython.lib.inputhook*` ones any more.there's also a corresponding set of event loop integration pieces in ipykernel, which may need a `wx4` option: https://github.com/ipython/ipykernel/blob/2baf8160b23bb4a0678da2033099eff9423316ae/ipykernel/eventloops.py#l144or if you're confident that these changes won't break things for people still using wxpython 3, you could make the changes to the code in place.",0,0,0,takluyver,Member
2018-02-15T00:00:00.000Z,0,bump,0,0,0,karolyi,Other
2018-02-18T00:00:00.000Z,0,"i will like to work on this one, more info on this?",0,0,0,oldani,Other
2018-02-20T00:00:00.000Z,0,"i think paste is just one way of demonstrating the problem.using `ipython -im module` (or `ipython -i script`) the repl can be delayed while the module or script is loaded, making it easy to type in multiple lines without using paste at all.",0.031,0,0,groner,Other
2018-02-23T00:00:00.000Z,0.234,"sorry you're having trouble with this - i think part of the reason is that it's clear what you want to do in trivial examples (a single level of indentation for a `try:`) - but not so clear to read your intention when there are multiple `try` blocks nested. if that sounds like an infrequent case, it equally applies to `else` continuations for `if` `for` and `try` blocks. you can easily end up with arbitrary combinations of these nested, and we won't be able to infer what you mean. we tend to not transform text after you've typed it out, that way you see exactly what will get sent as a workaround - i use `ctrl-u` to just remove all indentation at the beginning with one key chord, and then re-indent if there are multiple levels involved.older versions of ipython (before 5) used to respect the `%autoindent` setting, but that does not seem to be the case anymore for newer default `prompt_toolkit` setup. it appears that [`rlipython`](https://github.com/ipython/rlipython) still honors it, but if you switch to using that you may find other edge cases (i just noticed that tabs don't get converted to spaces in rlipython, for example).  it looks like there still might be a use case for this magic - see #11008, for example. i think we should consider restoring it for the prompt_toolkit readline implementation instead of removing it (it still works as it used to with rlipython enabled).",0.172,0,0,ivanov,Member
2018-02-24T00:00:00.000Z,0,@ahmadryan - glad you got a workaround. @tacaswell is the orginal something we can/should reliably detect and then provide your suggested workaround?,0,0,0,ivanov,Member
2018-02-25T00:00:00.000Z,0,bump,0,0,0,karolyi,Other
2018-02-26T00:00:00.000Z,0,"this is a known limitation - see #62.  >  as for digging into the ipython source code do you have an entry where i should start looking as to where the pythondontwritebytecode is set? i can debug from there.we don't set or read it at all, as far as i know. it's used by python itself (which ipython runs on top of).  i think a magic command or option for it would be good (like the existing `%history -g pattern` for glob search). getting it integrated into the interface might be more of a push.",0,0,0,takluyver,Member
2018-02-27T00:00:00.000Z,0.333,"i am having a very simiiar/related issue: the shift-tab documentation inspector is extremely slow. i tried to follow your steps (like the jedi thing == false, i also updated jedi to 0.11) hoping to find a solution but i am still facing this annoying problem.the things i noticed are:- this morning i was not having this issues: i started noticing it after i shut down the notebook when i was having a cell running forever (doing like a join between two pandas dataframe - sized roughly 17mb each). - the shift-tab works fine if i call it for functions called from a small object like a list (e.g. lst.apply() is ok), but as soon as i call it from my ""big"" dataframe it gets stuck (e.g. df['column1'].apply() is a problem).- the documentation inspector shows immediately if i manually interrupt the kernel, suggesting that the documentation was ready but the kernel was still running for unknown reasons.i hope someone can help me.this is some information about my environment.> {'commit_hash': 'ca5443062', 'commit_source': 'installation', 'default_encoding': 'cp1252', 'ipython_path': 'c:\\users\\rusia\\anaconda3\\lib\\site-packages\\ipython', 'ipython_version': '6.2.1', 'os_name': 'nt', 'platform': 'windows-10-10.0.16299-sp0', 'sys_executable': 'c:\\users\\rusia\\anaconda3\\python.exe', 'sys_platform': 'win32', 'sys_version': '3.6.1 |anaconda 4.4.0 (64-bit)| (default, may 11 2017, '                '13:25:24) [msc v.1900 64 bit (amd64)]'}update: i even tried to re-install anaconda distribution and the whole notebook and the issue persists.",0.203,0.25,0,rusiano,Other
2018-03-01T00:00:00.000Z,0,"this can happen if you create a client before the engines are registered. are you starting this up automatically? can you verify that the engines are successfully registered with the controller?  running `python3 -m ipython kernel install` will fix this to use absolute paths, which we can't produce in pip wheels. a recent change in jupyter_client should allow us to use `python3` here, which ought to fix this.  this doesn't really matter for dev versions, but it is fixable if we follow the conventions adopted by most of our other packages at this point, which is to pull in setuptools unconditionally in setup.py and just blacklist the implicit egg-install.",0,0,0,minrk,Member
2018-03-02T00:00:00.000Z,0,same issue in firefox.,0,0,0,s13varun,Other
2018-03-03T00:00:00.000Z,0,"using shift + enter.i installed anaconda on another system. now it is working.on fri, mar 2, 2018 at 11:51 pm, thomas kluyver <notifications@github.com>wrote:> how are you trying to execute the cells?>> â€”> you are receiving this because you authored the thread.> reply to this email directly, view it on github> <https://github.com/ipython/ipython/issues/11027#issuecomment-370007040>,> or mute the thread> <https://github.com/notifications/unsubscribe-auth/ajpaqbv3k6axlrhni7veab9h4ithvevrks5tay2qgajpzm4syfo9>> .>",0,0,0,s13varun,Other
2018-03-04T00:00:00.000Z,0,"ditto same error appears with [plasmapy](https://github.com/plasmapy/plasmapy):```python>>> from plasmapy.atomic import particle# attributeerror>>> particle('he').<tab>```although, it works fine if we assign `particle` to a variable first:```python>>> from plasmapy.atomic import particle>>> x = particle('he')# works ok>>> x.<tab>```i am not sure if `threading` is responsible in this case as well.",0,0,0,ritiek,Other
2018-03-07T00:00:00.000Z,0,"sorry that i'm coming a bit late to the discussion ...i just encountered the exact problem described above: i created a magic function as suggested in the documentation (and in another example i was consulting), and i was surprised that the quotes were not removed from the arguments.i found a quick work-around. instead of writing as suggested in the docs:```pythonargs = parse_argstring(self.my_magic, line)```... i am now using:```pythonimport shlexargs = self.my_magic.parser.parse_args(shlex.split(line))```... and this seems to work fine.",0,0.258,0.125,mgeier,Other
2018-03-08T00:00:00.000Z,0,"the application logging is part of traitlets, a base library we use for various ipython and jupyter projects. specifically, it's set up in this method:https://github.com/ipython/traitlets/blob/3164ffb43167e9d1688046fbe0aefa424af5b58d/traitlets/config/application.py#l210we're happy to give you a few pointers like this without any money involved - helping new contributors get to grips with the project is part of our jobs, at least for some of us.",0,0,0,takluyver,Member
2018-03-09T00:00:00.000Z,0,bumpity bump,0,0,0,karolyi,Other
2018-03-12T00:00:00.000Z,0,"the issue in jedi has been fixed, so this should work from the next jedi release (0.12?).",0,0,0,takluyver,Member
2018-03-13T00:00:00.000Z,0,"i have good news and bad news in the form of pr #11041 . the good news is that this problem will go away for ipython 7.0. ;-)the bad news is that the changes are likely to break all existing input transformations (other than ast transformations, which are unaffected). have a look at [this doc page](https://github.com/takluyver/ipython/blob/96b86fb221893f13ba26644098edc4a20cdc0669/docs/source/config/inputtransforms.rst) to see the what's currently proposed for the new interface. it's not final until 7.0 is released, so if there are things you want from the new interface, now's the time to say so.sorry to break things underneath you, but i hope that the new interface will be easier to work with than the current one.  e.g. from a glance at your discussion on sympy, would it help for the ast transformer to have access to the string of code that the ast came from? or a way to pass data from a string/token transformer to an ast transformer?",0,0,0,takluyver,Member
2018-03-14T00:00:00.000Z,0,"printing too much data, let's say accidentally printing a gigantic numpy array, can make the kernel completely unresponsive and impossible to to terminate",0,0,0,JulesGM,Other
2018-03-18T00:00:00.000Z,0,"thanks @takluyver, however that works only for the current session. any new notebook will start with the rtl option on again. additionally, the tree page (http://localhost:8888/tree) is in rtl too...is there some global flag to turn off rtl option altogether?edit: ok, i changed the default language of the browser (chrome) from hebrew to english, and now everything works.",0,0,0,shahardo,Other
2018-03-19T00:00:00.000Z,0,can i work on this?,0,0,0,pulkitmaloo,Other
2018-03-21T00:00:00.000Z,0,bump,0,0,0,karolyi,Other
2018-03-22T00:00:00.000Z,0,"if it's a class you're writing, you can override the `__dir__` method which is used to find completions.  i don't think `__dir__()` is important for anything else, but i'm not 100% sure of that. possibly in this particular case, a smarter way would be to implement something similar to bunch that doesn't inherit from dict.",0,0,0,takluyver,Member
2018-03-26T00:00:00.000Z,0,"i had this problem (win 10), but it was solved by uninstalling nexus access client - if that is of any use to anyone. others report success uninstall networx. so if you have any software monitoring network traffic or using tunnels - try uninstalling those perhaps ?",0,0,0,rhkarls,Other
2018-03-27T00:00:00.000Z,0,@yoki were you able to get your code to work with the h2-level header numbering reseting properly? i'm getting something like: > section 1     - 1.1    - 1.2    - 1.3section 2    - 2.4 <--- should be 2.1i think this is the same issue the others discussed above.,0,0,0,kenaycock,Other
2018-03-28T00:00:00.000Z,0,i have the same issue with ipython 6.2.1 that i just pip installed.all my python stuffs are newly installed include scrapy.but in `scrapy shell ..`it begin spam the debug infowill this be fixed?,0,0,0,NewUserHa,Other
2018-03-31T00:00:00.000Z,0,"@takluyver hey, my chrome browser is set to english, yet i still having issues with rtl layout.is there another possiable solution?",0,0,0,almogtalker1992,Other
2018-04-01T00:00:00.000Z,0,"@takluyver ok great it shows me ""he-il""so i need to change it? how?",0,0,0,almogtalker1992,Other
2018-04-02T00:00:00.000Z,0,"it should be in browser settings somewhere. if there's a list of languages, it probably uses the top one on the list.  have you closed the browser and reopened it? maybe the language settings only affect it when you next start it. if that's not it, no idea...",0,0,0,takluyver,Member
2018-04-03T00:00:00.000Z,0,just ran into this issue using a `@classmethod` decorator.,0,0,0,tmattio,Other
2018-04-04T00:00:00.000Z,0,`'./<tab>` is fixed with ipython 6.3.0 (now it shows only paths) but not `./<tab>`.,0,0,0,gokceneraslan,Other
2018-04-08T00:00:00.000Z,0,"it's a fairly simple regex that tries to figure out what you want help on. we could probably extend it to cover simple literals (though the possibilities for floats are quite complex). but it would still go wrong with something like `(3 / 4).hex?`. we're trying to avoid evaluating everything before the `?`, so it can never handle everything.",0,0,0,takluyver,Member
2018-04-09T00:00:00.000Z,0,"when i change a module, i like to re-import it in my notebook. is there currently a way to restart the kernel in ipython?",0,0,0,apnewberry,Other
2018-04-10T00:00:00.000Z,0,"thanks, @takluyver .",0,0,0,apnewberry,Other
2018-04-12T00:00:00.000Z,0.333,"any updates on this?i came across this issue when looking to see if there has been any support for mypy in the jupyter ecosystem. seeing it approached as a cell magic didn't seem like the right direction for this as i feel that devs are either all in with the typechecking and want to run it on every cell or skip it all together.opt-in support looks like the right approach but i am not sure exactly how. potentially like @carreau mentioned a line magic to enable/disable? as far as requiring new infrastructure i don't think that is necessary, the error stream/messages look like they can cover this as regular errors rather than requiring something new. the only thing that i feel is important is that when executing a cell if it doesn't typecheck, _none_ of it is executed to allow using the run-cell functionality to check  errors without worrying about an inconsistent intermediate state with ill-typed code.",0.25,0,0.25,SpencerPark,Other
2018-04-13T00:00:00.000Z,0,"```colorama.init()``` messes with sys.stdout like this:```pythondef init(autoreset=false, convert=none, strip=none, wrap=true):...    sys.stdout = wrapped_stdout = \        wrap_stream(orig_stdout, convert, strip, autoreset, wrap)```commenting out that assignment (or anything downstream that results in calling init) fixes the problem.this is what wrap_stream looks like:```pythonfrom .ansitowin32 import ansitowin32def wrap_stream(stream, convert, strip, autoreset, wrap):    if wrap:        wrapper = ansitowin32(stream,            convert=convert, strip=strip, autoreset=autoreset)        if wrapper.should_wrap():            stream = wrapper.stream    return stream```",0.266,0,0,dnut,Other
2018-04-14T00:00:00.000Z,0,"iirc colorama will forget the ""original stdout"" if initializing twice (causes trouble when calling `colorama.deinit`) so it's not really recommended, but it should continue to work and shouldn't cause the hang described.i currently don't have access to a win 10 machine, and i can't reproduce this on windows 7.@dnut can you try to run:```pythonimport coloramacolorama.init()colorama.init()<ctrl+d>```and see if this causes trouble?also, please make sure you have the latest version of colorama installed.",0,0,0,wiggin15,Other
2018-04-15T00:00:00.000Z,0,"@apnewberry shameless plug, but you can also use an ide like [spyder](https://github.com/spyder-ide/spyder) which is integrated closely with ipython, where we have user module reloader which tells ipython to reload any local modules with changes automatically, all within the same session and without restarting or even clearing variables.",0,0,0,CAM-Gerlach,Other
